MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
23,30,138,3.291,147,144,17.2,5,4,5,M,55.5,185.8,106.3,71.5,60.6,59.8,15500,3291,3301,2003 Kia Optima LX Current,2003
15,20,192,4.057,217,213,21.1,5,6,4,A,68.1,179.8,106.7,73.3,62.2,62.2,19995,4057,4057,2003 Kia Sorento LX 4X2 Current,2003
15,20,195,4.802,218,213,19.8,7,6,5,A,69.3,194.1,114.6,74.6,64.4,63.4,19975,4802,4802,2003 Kia Sedona LX Current,2003
9,13,571,3.638,479,378,26.4,2,12,6,M,44.7,180.3,104.9,80.5,64.4,66.7,281400,3638,,2003 Lamborghini Murcielago 6.2 Current,2003
17,20,174,3.62,177,152,16.9,5,6,5,A,,175,101,71.1,60.4,60.8,24975,3620,3620,2003 Land Rover Freelander S Current,2003
18,25,215,3.255,218,183,17.5,5,6,5,M,55.5,176.6,105.1,67.9,58.9,58.5,29435,3255,,2003 Lexus IS 300 5-Speed Sedan Current,2003
21,29,210,3.439,220,183,18.5,5,6,5,A,57.3,191.1,107.1,71.3,60.8,60.4,31725,3439,3439,2003 Lexus ES 300 Sedan Current,2003
18,25,220,3.649,220,183,19.8,5,6,5,A,55.9,189.2,110.2,70.9,60.4,59.4,38725,3649,3649,2003 Lexus GS 300 Sedan Current,2003
19,25,290,3.945,320,262,22.2,5,8,5,A,58.7,196.7,115.2,72,61.8,61.8,55125,3945,3945,2003 Lexus LS 430 Sedan Current,2003
18,23,300,3.84,325,261,19.8,4,8,5,A,53.1,177.8,103.1,72,61,60.4,62225,3840,3840,2003 Lexus SC 430 Convertible Current,2003
15,18,235,4.675,320,285,23,5,8,5,A,74.6,188.2,109.8,74,62.2,62.2,44925,4675,4675,2003 Lexus GX 470 Sport Utility Current,2003
13,17,235,5.59,320,285,25.4,8,8,5,A,72.8,192.5,112.2,76.4,63.8,63.6,63625,5590,5590,2003 Lexus LX 470 Sport Utility Current,2003
20,26,230,3.86,242,202,19.2,5,6,5,A,66.1,186.2,106.9,72.6,62,61.2,35025,3860,3860,2004 Lexus RX 330 Front Wheel Drive Current,2004
17,25,239,4.345,287,281,19,6,8,4,A,58.6,215.4,117.7,78.2,63.4,65.9,41020,4345,4345,2004 Lincoln Town Car Signature Current,2004
13,19,302,4.834,300,281,22.5,6,8,5,A,70.9,193.3,113.7,73.9,60.9,61.2,39710,4834,4834,2004 Lincoln Aviator 4x2 Luxury Current,2004
20,26,232,3.674,220,181,18,5,6,5,A,56.1,193.9,114.5,73.2,60.5,60.8,31860,3674,3674,2004 Lincoln LS V6 Automatic Luxury Current,2004
12,17,300,5.822,355,330,28,7,8,4,A,77.8,206,118.8,78.7,67,67.1,48485,5822,5822,2004 Lincoln Navigator 4x2 Luxury Current,2004
15,22,350,3.043,295,214,18.5,2,8,5,M,45.3,172,95.3,74.1,60.2,60.8,90825,3043,,2003 Lotus Esprit V8 Coupe Current,2003
11,17,390,3.792,330,259,23,2,8,6,M,51.4,169.4,96.1,71.7,60,60.6,85542,3792,,2003 Maserati Spyder GT Current,2003
11,17,390,3.678,330,259,23.2,4,8,6,M,51.4,178.1,104.7,71.7,60,60.1,80211,3678,,2003 Maserati Coupe GT Current,2003
25,31,130,2.6605,135,121,14.5,5,4,5,M,55.5,175.3,102.8,67.1,57.9,57.9,13680,2660.5,2687,2003 Mazda Proteg_ DX Current,2003
25,31,130,2.7325,135,121,14.5,5,4,5,M,57.8,170.5,102.8,67.1,57.7,57.9,16895,2732.5,2749,2003 Mazda Proteg_5 Sport Current,2003
25,32,160,3.0665,155,138,16.9,5,4,5,M,56.7,186.8,105.3,70.1,60.6,60.2,18650,3066.5,3091,2003 Mazda Mazda6 i Current,2003
24,30,170,2.843,160,121,14.5,5,4,5,M,55.5,174.6,102.8,67.1,57.2,57.4,19980,2843,,2003 Mazda MAZDASPEED Proteg_ Sport Compact Sedan Current,2003
23,28,142,2.408,125,112,12.7,2,4,5,M,48.4,155.7,89.2,66,55.7,56.7,21843,2408,2429,2003 Mazda MX-5 Miata Base Current,2003
23,28,130,3.091,135,121,16.4,5,4,5,M,69.3,173,103.1,70.8,60.6,59.8,18455,3091,,2003 Mazda Tribute DX I4 Current,2003
18,25,200,3.794,200,181,19.8,7,6,5,A,68.7,187.8,111.8,72.1,60.6,60.8,21660,3794,3794,2003 Mazda MPV LX-SV Current,2003
18,25,207,3.053,164,80,15.9,4,,4,A,52.8,174.3,106.4,69.7,58.9,59.3,25180,3053,3053,2004 Mazda RX-8 AT Current,2004
23,28,130,3.091,135,121,16.4,5,4,5,M,69.3,173,103.1,70.8,60.6,59.8,18565,3091,,2004 Mazda Tribute DX I4 Current,2004
24,29,143,3.001,154,140,16.5,3,4,5,M,64.9,187.5,111.6,69.4,58.6,57.3,13930,3001,,2003 Mazda Truck Regular Cab 4x2 B2300 Base Current,2003
21,31,189,3.265,192,110,16.4,4,4,6,M,54.3,171,106.9,68,58.8,57.6,24950,3265,3280,2003 Mercedes-Benz C-Class C230 Kompressor Sports Coupe Current,2003
20,27,221,3.856,232,195,18.5,7,6,5,A,59.3,190,111.5,70.8,60.4,60.6,49250,3856,3856,2003 Mercedes-Benz E-Class E320 Wagon Current,2003
17,24,275,4.166,295,260,23.3,5,8,5,A,57.2,203.1,121.5,73.1,62,62,72600,4166,4166,2003 Mercedes-Benz S-Class S430 Sedan Current,2003
15,22,302,4.045,339,303,21.1,2,8,5,A,51.1,178.5,100.8,71.9,61.4,61,85990,4045,4045,2003 Mercedes-Benz SL-Class SL500 Roadster Current,2003
16,22,302,4.07,339,303,23.3,4,8,5,A,55.4,196.4,113.6,73.1,62.1,62.1,91650,4070,4070,2003 Mercedes-Benz CL-Class CL500 Coupe Current,2003
15,19,215,4.786,229,195,22.6,5,6,5,A,71.7,182.6,111,72.4,60.4,60.4,36600,4786,4786,2003 Mercedes-Benz M-Class ML320 [Discontinued] Current,2003
13,14,292,5.423,336,303,25.4,5,8,5,A,77.8,185.6,112.2,71.3,58.1,58.1,73600,5423,5423,2003 Mercedes-Benz G-Class G500 Current,2003
19,28,192,3.0825,200,140,15.9,2,4,6,M,50.4,157.9,94.5,67.5,58.6,58.5,39600,3082.5,3110,2004 Mercedes-Benz SLK-Class SLK230 Roadster Current,2004
19,27,215,3.515,229,195,16.4,4,6,5,A,55.4,182.6,106.9,68.5,58.9,58,44350,3515,3515,2004 Mercedes-Benz CLK-Class CLK320 Coupe Current,2004
17,25,224,4.052,272,281,19,6,8,4,A,56.8,211.9,114.7,78.2,63.4,65.6,23970,4052,4052,2004 Mercury Grand Marquis GS Current,2004
17,23,302,4.195,318,281,19,5,8,4,A,58.9,211.9,114.7,78.2,63.7,66.2,33770,4195,4195,2004 Mercury Marauder Sedan Current,2004
20,28,155,3.336,185,182,18,6,6,4,A,55.5,199.8,108.5,73,61.6,62.1,20925,3336,3336,2004 Mercury Sable GS Sedan Current,2004
15,21,210,4.374,254,245,22.5,7,6,5,A,71.4,189.5,113.8,72.1,60.9,61.2,29350,4374,4374,2004 Mercury Mountaineer 4X2 Convenience 4.0L Current,2004
28,37,115,2.5405,110,98,13.2,4,4,5,M,55.9,142.8,97.1,66.5,57.4,57.7,16425,2540.5,2557,2003 MINI Cooper Base Current,2003
27,33,120,2.668,130,122,13.2,5,4,5,M,54.1,177.6,102.4,66.7,57.9,57.9,14047,2668,2690,2003 Mitsubishi Lancer ES Current,2003
21,27,140,3.031,155,143,16.3,5,4,4,A,55.7,187.8,103.7,68.5,59.4,59.3,17857,3031,3031,2003 Mitsubishi Galant DE Current,2003
23,31,147,2.943,158,143,16.4,4,4,5,M,51.6,176.8,100.8,68.9,59.4,59.4,18167,2943,2976,2003 Mitsubishi Eclipse RS Current,2003
17,25,205,3.439,231,213,19,5,6,4,A,53.9,194.1,107.1,70.3,60.8,60.4,25977,3439,3439,2003 Mitsubishi Diamante ES Current,2003
18,26,271,3.263,273,122,14,5,4,5,M,57.1,178.5,103.3,69.7,59.6,59.6,28987,3263,,2003 Mitsubishi Lancer Evolution Sedan Current,2003
21,26,140,3.24,157,144,15.7,5,4,4,A,63.2,179.1,103.3,68.9,58.9,59.3,18087,3240,3240,2003 Mitsubishi Outlander LS 2WD Current,2003
18,22,165,3.835,186,181,19.5,5,6,4,A,67.7,181.1,107.3,66.7,55.9,56.5,22907,3835,3835,2003 Mitsubishi Montero Sport ES 2WD Current,2003
17,23,215,3.847,250,234,21.4,5,6,4,A,69.6,190.2,108.3,73.6,63,63,25597,3847,3847,2004 Mitsubishi Endeavor LS FWD Current,2004
23,29,175,3.025,180,152,20,5,4,5,M,57.9,191.5,110.2,70.4,61,61.2,16749,3025,3049,2003 Nissan Altima 2.5 Current,2003
28,36,126,2.55,129,108,13.2,5,4,5,M,55.5,177.5,99.8,67.3,58.1,57.3,12200,2550,2587,2004 Nissan Sentra 1.8 Current,2004
20,28,265,3.4545,255,214,20,5,6,5,A,58.3,193.5,111.2,71.7,61,61.2,26950,3454.5,3473,2004 Nissan Maxima SE Current,2004
20,26,287,3.188,274,213,20,2,6,6,M,51.9,169.4,104.3,71.5,60.4,60.8,25830,3188,,2004 Nissan 350Z Coupe Coupe Current,2004
19,24,143,3.589,154,146,19.4,5,4,5,M,73.7,178,104.3,70.4,60,59.3,17999,3589,,2003 Nissan Xterra XE I4 4X2 Current,2003
16,21,240,3.871,265,213,21.1,5,6,4,A,70.9,182.7,106.3,71.7,60.6,60.8,26799,3871,3871,2003 Nissan Pathfinder SE 4X2 Current,2003
20,25,245,3.801,246,214,21.7,5,6,,A,66.5,187.6,111.2,74,64.2,64,28199,3801,3801,2003 Nissan Murano SL 2WD Current,2003
19,26,240,4.012,242,,20.1,2,6,4,A,70,204.1,124,77.6,67.3,67.3,24240,4012,4012,2004 Nissan Quest 3.5 S Current,2004
22,25,143,3.271,154,146,15.9,2,4,5,M,63.2,202.9,116.1,67.3,54.9,54.7,13149,3271,3302,2003 Nissan Truck Frontier 4X2 KC-I4 Standard Model Current,2003
17,26,250,3.803,260,244,17.5,5,8,4,A,56.7,199.3,112.2,72.9,62.3,62.3,34725,3803,3803,2003 Oldsmobile Aurora 4.0L Sedan Current,2003
24,33,140,2.996,150,134,14,5,4,4,A,54.5,186.7,107,70.1,59.1,59.3,18200,2996,2996,2004 Oldsmobile Alero GX Sedan Current,2004
16,22,275,4.417,275,256,22,5,6,4,A,74.5,191.8,113,75.4,63.1,62.1,33645,4417,4417,2004 Oldsmobile Bravada 2-Wheel Drive Current,2004
19,26,185,3.948,210,207,25,7,6,4,A,68.1,201.4,120,72.2,61.5,63.3,28110,3948,3948,2004 Oldsmobile Silhouette GL Current,2004
17,23,320,3.2,315,280,15.7,2,8,5,M,53.4,176.3,106,73.2,60.9,63.2,89950,3200,,2003 Panoz Esperante Convertible Current,2003
20,29,205,3.633,225,231,18.5,5,6,4,A,56.6,202.6,112.2,74.2,62.6,62.1,26695,3633,3633,2003 Pontiac Bonneville SE Sedan Current,2003
26,33,140,2.771,150,134,14,5,4,5,M,53,182,104.1,68.4,57.6,56.4,14930,2771,,2004 Pontiac Sunfire Coupe Current,2004
29,36,130,2.74,125,109,13,5,4,5,M,62.2,171.9,102.4,69.9,59.6,58.9,16485,2740,2780,2004 Pontiac Vibe Base Current,2004
26,33,140,3.066,150,134,14,5,4,5,M,55.1,186.3,107,70.4,59,59.1,17070,3066,,2004 Pontiac Grand Am SE Sedan Current,2004
19,26,185,3.779,210,204,18,5,6,4,A,66.7,182.1,108.3,73.7,62.7,63.8,20995,3779,3779,2004 Pontiac Aztek Front-Wheel Drive Current,2004
19,26,185,3.803,210,207,20,7,6,4,A,67.4,187.3,112,72.7,61.5,63.3,23165,3803,3803,2004 Pontiac Montana Regular Wheelbase 1SA Current,2004
20,29,228,2.8735,192,164,16.9,2,6,5,M,50.8,170.1,95.1,70.1,57.7,60.2,42600,2873.5,2936,2003 Porsche Boxster Convertible Current,2003
18,26,315,3.0195,273,219,16.9,4,6,6,M,51.4,174.5,92.6,69.7,57.7,59.1,68600,3019.5,3080,2003 Porsche 911 Carrera Coupe Current,2003
14,24,453,5.577,531,412,26.4,5,12,6,A,64.3,229.7,140.6,78.3,66.3,65.7,320000,5577,5577,2004 Rolls-Royce Phantom Sedan Current,2004
22,31,185,3.5,207,140,18.5,5,4,5,M,57,190,106.4,70.5,59.9,59.9,34335,3500,3530,2003 Saab 9-5 Sedan Linear 2.3t Current,2003
26,33,140,2.6905,145,134,13.5,5,4,5,M,57.4,184.5,103.2,67.2,58.8,58.4,11430,2690.5,2728,2003 Saturn ION 1 Sedan Current,2003
23,31,135,3.011,142,134,15.7,5,4,5,M,56.4,190.4,106.5,68.5,59.8,59.4,17735,3011,3033,2003 Saturn L-Series Sedan L200 Current,2003
23,28,143,3.193,152,134,15.5,5,4,5,M,66.4,181.3,106.6,71.6,61,61,16325,3193,3214,2003 Saturn VUE FWD 4 Current,2003
21,27,165,3.2575,166,150,16.9,5,4,5,M,55.7,184.4,104.3,68.7,57.5,57.5,19795,3257.5,3290,2003 Subaru Legacy L Sedan Current,2003
21,28,165,3.0725,166,150,15.9,5,4,5,M,58.5,173.8,99.4,66.7,57.7,57.3,17895,3072.5,3100,2004 Subaru Impreza 2.5 TS Sport Wagon Current,2004
21,28,165,3.0775,166,150,15.9,5,4,5,M,60.6,173.8,99.4,67.3,57.5,57.3,19095,3077.5,3105,2004 Subaru Outback Sport Current,2004
21,28,165,3.1125,166,150,15.9,5,4,5,M,65,175.2,99.4,68.3,58.9,58.5,20895,3112.5,3135,2004 Subaru Forester 2.5 X Current,2004
26,32,145,2.6635,136,122,13.2,5,4,5,M,60.8,171.3,97.6,67.7,57.1,56.9,13499,2663.5,2686,2003 Suzuki Aerio Sedan S Current,2003
23,26,127,2.6955,134,122,14.8,4,4,5,M,65,152,86.6,67.3,57.5,57.5,15599,2695.5,2712,2003 Suzuki Vitara Two-Door Two-Wheel Drive Current,2003
19,22,165,3.075,162,152,16.9,5,6,5,M,67.3,164.5,97.6,70.1,59.1,59.1,18599,3075,3075,2003 Suzuki Grand Vitara Two-Wheel Drive Current,2003
18,20,183,3.552,180,167,16.9,5,6,5,M,67.5,183.6,110.2,70.1,59.1,59.1,19599,3552,3588,2003 Suzuki XL-7 Touring 2WD Current,2003
35,43,108,2.06,105,91,11.9,5,4,5,M,59.4,164.8,93.3,65.4,56.9,55.9,10245,2060,2085,2003 Toyota ECHO 2-Door Sedan Current,2003
27,33,140,2.4425,125,109,14.5,4,4,5,M,51.4,170.5,102.4,68.3,58.6,58.2,17340,2442.5,2460,2003 Toyota Celica GT Current,2003
23,33,157,3.114,162,144,18.5,5,4,5,M,57.9,189.2,107.1,70.7,60.8,60.4,19045,3114,3142,2003 Toyota Camry LE Current,2003
52,45,70,2.765,82,91,11.9,5,4,,A,57.6,169.6,100.4,66.7,58.1,58.3,19995,2765,2765,2003 Toyota Prius 4-Door Sedan Current,2003
26,32,138,2.195,125,110,12.7,2,4,5,M,48.8,153,96.5,66.7,58.1,57.5,24645,2195,,2003 Toyota MR-2 Spyder Convertible Current,2003
21,29,210,3.417,220,183,18.5,5,6,4,A,57.1,191.9,107.1,71.7,61,60,25945,3417,3417,2003 Toyota Avalon XL Current,2003
32,40,130,2.535,125,110,13.2,5,4,5,M,58.5,178.3,102.4,66.9,58.3,57.5,13570,2535,2568,2004 Toyota Corolla CE Current,2004
29,36,130,2.7175,125,109,13.2,5,4,5,M,60.6,171.3,102.4,69.9,59.6,58.9,14670,2717.5,2756,2004 Toyota Matrix Standard 4X2 Current,2004
25,31,148,2.744,142,122,14.7,5,4,5,M,65.7,166.2,98,68.3,59.3,59.1,16625,2744,2777,2003 Toyota RAV4 4-Door 4X2 Current,2003
22,27,155,3.485,163,144,19.8,5,4,4,A,66.1,184.4,106.9,71.9,62.2,61.6,23880,3485,3485,2003 Toyota Highlander Sport Utility 4X2 Current,2003
18,21,245,4.025,283,,23,5,6,4,A,69.1,189,109.8,73.8,62,62,27055,4025,4025,2003 Toyota 4Runner SR5 4X2 Current,2003
14,18,240,5.07,315,285,26.1,8,8,4,A,73.2,203.9,118.1,76.4,65.9,66.1,31625,5070,5070,2003 Toyota Sequoia SR5 4X2 Current,2003
13,17,235,5.39,320,285,25.4,8,8,5,A,73.2,192.5,112.2,76.4,63.8,63.6,53955,5390,5390,2003 Toyota Land Cruiser 4X4 Current,2003
19,24,210,3.919,220,183,20.9,7,6,4,A,67.3,194.2,114.2,73.4,61.6,63.4,23905,3919,3919,2003 Toyota Sienna CE Current,2003
22,27,142,2.76,160,149,15.8,3,4,5,M,64.1,184.4,103.3,66.5,57.1,57.3,12200,2760,2770,2003 Toyota Truck Tacoma 4X2 Regular Cab Current,2003
24,31,115,2.7985,122,121,14.5,5,4,5,M,56.7,164.9,98.9,68.3,59.6,58.8,15295,2798.5,2826,2003 Volkswagen Golf GL 2.0 Current,2003
24,31,115,2.839,122,121,14.5,4,4,5,M,59,161.1,98.7,67.9,59.4,58.8,15950,2839,2861,2003 Volkswagen New Beetle GL 2.0L Current,2003
24,31,115,2.9185,122,121,14.5,5,4,5,M,56.7,172.3,98.9,68.3,59.6,58.8,17100,2918.5,2945,2003 Volkswagen Jetta Sedan GL 2.0 Current,2003
24,31,180,2.9915,173,109,14.5,5,4,5,M,56.7,164.9,98.9,68.3,59.6,58.8,19065,2991.5,3051,2003 Volkswagen GTI 1.8T Current,2003
22,31,170,3.267,166,109,16.4,5,4,5,M,57.6,185.2,106.4,68.7,59.6,59.6,21750,3267,3322,2003 Volkswagen Passat GL Sedan Current,2003
17,20,201,4.288,181,170,21.1,7,6,4,A,76.4,188.5,115,72.4,62.6,61.2,26200,4288,4288,2003 Volkswagen Eurovan GLS Current,2003
15,20,220,5.086,225,195,26.4,5,6,6,A,68,187.2,112.4,75.9,65.2,65.7,34900,5086,5086,2004 Volkswagen Touareg V6 Current,2004
22,29,170,2.767,177,119,15.9,5,4,5,A,56,178,101,67.6,58,58,24450,2767,2767,2004 Volvo S40 Sedan Current,2004
22,29,170,2.822,177,119,15.9,5,4,5,A,56.1,178,101,67.6,58,58,25450,2822,2822,2004 Volvo V40 Wagon Current,2004
22,30,168,3.276,166,,18.5,5,5,5,M,56.2,180.2,106.9,71,61.5,61.4,26960,3276,,2004 Volvo S60 2.4 Current,2004
22,30,168,3.488,166,149,18.5,5,5,5,M,57.7,185.4,108.5,71,61.5,61.4,28460,3488,,2004 Volvo V70 2.4 Current,2004
19,24,208,3.699,236,153,18,5,5,5,A,61.5,186.3,108.8,73.2,63.4,60.9,34460,3699,3699,2004 Volvo XC70 Cross Country Current,2004
20,28,194,3.583,207,178,21.1,5,6,4,A,57.2,189.8,109.9,72.1,62.3,61.4,37045,3583,3583,2004 Volvo S80 2.9 Current,2004
18,25,197,3.45,210,149,18,4,5,5,A,56.3,185.7,104.9,71.5,59.9,59.8,39880,3450,3450,2004 Volvo C70 LPT Current,2004
18,24,208,4.354,236,153,19,5,5,5,A,70.2,188.9,112.6,74.7,64.3,63.9,34440,4354,4354,2004 Volvo XC90 2.5T Current,2004
